overlapRound	Item1	Item2	sn	cond	sess	trial	trial_type	title	typeOfScen	keybResp	keyDef	keybRT	rtBeep	rtDeadline	averageP	sdp	overlap	direct.xVy	correct	targetPresent	dirOverlap	correct01	overlapRoundSN	res.RT	fit.RT
0.05	an elderly person	a terrorist	50	elaborate	1	48	1	counseling	simpleChoice	d	Left Item	6.93925394604151	N/A	-1	0.0442136752136752	0.0179078920324496	0.0884273504273504	1	1	TRUE	0.91157264957265	1	0.05	-0.364083238112888	7.3033371841544
0.05	an elderly person	a pedophile	50	elaborate	1	39	1	serviceDog	simpleChoice	d	Left Item	7.14834574390007	N/A	-1	0.0386942148760331	0.0167188846207552	0.0773884297520662	1	1	TRUE	0.922611570247934	1	0.05	-0.202057315386275	7.35040305928634
0.05	a mentor	a pedophile	50	elaborate	1	84	1	physicalTherapy	simpleChoice	d	Left Item	7.13489085156588	N/A	-1	0.965047619047619	0.0157018513378845	0.0699047619047619	1	1	TRUE	0.930095238095238	1	0.05	-0.0967385879052252	7.23162943947111
0.15	a father	an assassin	50	elaborate	1	32	1	legalFees	simpleChoice	d	Left Item	7.21007962817079	N/A	-1	0.935132530120482	0.0143498663838322	0.129734939759036	1	1	TRUE	0.870265060240964	1	0.15	-0.193878065021679	7.40395769319247
0.15	an astronaut	a terrorist	50	elaborate	1	82	1	bucketList	simpleChoice	d	Left Item	7.05444965813294	N/A	-1	0.0533170731707317	0.0196075792796909	0.106634146341463	1	1	TRUE	0.893365853658537	1	0.15	-0.178742540050642	7.23319219818358
0.15	a thief	a father	50	elaborate	1	51	1	legalFees	simpleChoice	k	Right Item	6.97354301952014	N/A	-1	0.927987704918033	0.0156861284015264	0.144024590163934	-1	1	FALSE	-0.855975409836066	1	0.15	-0.318107962414158	7.2916509819343
0.15	a rapist	an astronaut	50	elaborate	1	67	1	paralysis	simpleChoice	k	Right Item	6.85435450225502	N/A	-1	0.0574269230769231	0.019607928156392	0.114853846153846	-1	1	FALSE	-0.885146153846154	1	0.15	-0.396829617935392	7.25118412019041
0.15	a mentor	an assassin	50	elaborate	1	75	1	burntHouse	simpleChoice	d	Left Item	7.32843735289516	N/A	-1	0.911748031496063	0.0239452741424966	0.176503937007874	1	1	TRUE	0.823496062992126	1	0.15	0.0884292855054101	7.24000806738975
0.15	an adult	a rapist	50	elaborate	1	45	1	burntHouse	simpleChoice	d	Left Item	7.56992765524265	N/A	-1	0.050872	0.019218974608053	0.101744	1	1	TRUE	0.898256	1	0.15	0.253096663909684	7.31683099133297
0.15	a thief	a father	50	elaborate	1	12	1	physicalTherapy	simpleChoice	k	Right Item	7.5522372875608	N/A	-1	0.927987704918033	0.0156861284015264	0.144024590163934	-1	1	FALSE	-0.855975409836066	1	0.15	-0.153909018806532	7.70614630636733
0.15	a terrorist	an astronaut	50	elaborate	1	7	1	paralysis	simpleChoice	k	Right Item	7.35308192051543	N/A	-1	0.0533170731707317	0.0196075792796909	0.106634146341463	-1	1	FALSE	-0.893365853658537	1	0.15	-0.485804395922138	7.83888631643757
0.15	a teacher	an assassin	50	elaborate	1	6	1	physicalTherapy	simpleChoice	d	Left Item	7.6246189861594	N/A	-1	0.91070564516129	0.0181737180255683	0.178588709677419	1	1	TRUE	0.821411290322581	1	0.15	-0.244851401684573	7.86947038784397
0.15	an elderly person	an assassin	50	elaborate	1	86	1	counseling	simpleChoice	d	Left Item	7.18083119904456	N/A	-1	0.0856393442622951	0.0251843995334413	0.17127868852459	1	1	TRUE	0.82872131147541	1	0.15	-0.0493783618922183	7.23020956093677
0.15	an olympian	a rapist	50	elaborate	1	22	1	physicalTherapy	simpleChoice	d	Left Item	7.07834157955767	N/A	-1	0.059896694214876	0.0206690042924156	0.119793388429752	1	1	TRUE	0.880206611570248	1	0.15	-0.441170693941079	7.51951227349875
0.15	an assassin	a soldier	50	elaborate	1	36	1	physicalTherapy	simpleChoice	k	Right Item	7.09340462586877	N/A	-1	0.928784	0.0223752988359485	0.142432	-1	1	FALSE	-0.857568	1	0.15	-0.277772322496253	7.37117694836502
0.25	a celebrity	a terrorist	50	elaborate	1	20	1	legalFees	simpleChoice	d	Left Item	7.51534457118044	N/A	-1	0.886209821428571	0.0287845886559777	0.227580357142857	1	1	TRUE	0.772419642857143	1	0.25	-0.0346996648139388	7.55004423599437
0.25	a mentor	a gang member	50	elaborate	1	34	1	surgery	simpleChoice	d	Left Item	6.86797440897029	N/A	-1	0.131782786885246	0.0294519664657941	0.263565573770492	1	1	TRUE	0.736434426229508	1	0.25	-0.518807747828918	7.38678215679921
0.25	a convict	a father	50	elaborate	1	94	1	serviceDog	simpleChoice	k	Right Item	7.01660968389422	N/A	-1	0.122430830039526	0.0198279717601891	0.244861660079051	-1	1	FALSE	-0.755138339920949	1	0.25	-0.209105169275219	7.22571485316944
0.25	a thief	a mentor	50	elaborate	1	85	1	serviceDog	simpleChoice	k	Right Item	6.90875477931522	N/A	-1	0.889643442622951	0.0275343985491527	0.220713114754098	-1	1	FALSE	-0.779286885245902	1	0.25	-0.322147706665876	7.2309024859811
0.25	a celebrity	a rapist	50	elaborate	1	88	1	bucketList	simpleChoice	d	Left Item	7.26892012819372	N/A	-1	0.891172268907563	0.0272355832867098	0.217655462184874	1	1	TRUE	0.782344537815126	1	0.25	0.040000628887177	7.22891949930654
0.25	an astronaut	a gang member	50	elaborate	1	89	1	counseling	simpleChoice	d	Left Item	7.31521838975297	N/A	-1	0.146455284552846	0.0313347494824486	0.292910569105691	1	1	TRUE	0.707089430894309	1	0.25	0.0868989925587655	7.22831939719421
0.25	a gang member	a soldier	50	elaborate	1	53	1	physicalTherapy	simpleChoice	k	Right Item	6.83195356556585	N/A	-1	0.111341666666667	0.0288580953055579	0.222683333333333	-1	1	FALSE	-0.777316666666667	1	0.25	-0.452789877704133	7.28474344326999
0.25	a gang member	a father	50	elaborate	1	19	1	paralysis	simpleChoice	k	Right Item	7.57095858316901	N/A	-1	0.899215163934426	0.0186423920196408	0.201569672131148	-1	1	FALSE	-0.798430327868852	1	0.25	0.00451485046084077	7.56644373270817
0.25	a gang member	a teacher	50	elaborate	1	56	1	burntHouse	simpleChoice	k	Right Item	6.90875477931522	N/A	-1	0.131493827160494	0.0213207382980793	0.262987654320988	-1	1	FALSE	-0.737012345679012	1	0.25	-0.366793244193207	7.27554802350843
0.25	an adult	a thief	50	elaborate	1	8	1	paralysis	simpleChoice	d	Left Item	8.01367414283268	N/A	-1	0.125147058823529	0.0307522679952836	0.250294117647059	1	1	TRUE	0.749705882352941	1	0.25	0.203940267818095	7.80973387501459
0.25	an adult	a thief	50	elaborate	1	3	1	medicalTreatment	simpleChoice	d	Left Item	7.43897159239586	N/A	-1	0.125147058823529	0.0307522679952836	0.250294117647059	1	1	TRUE	0.749705882352941	1	0.25	-0.531561272659359	7.97053286505522
0.25	a thief	a police officer	50	elaborate	1	65	1	serviceDog	simpleChoice	k	Right Item	7.05789793741186	N/A	-1	0.871906976744186	0.028240572548127	0.256186046511628	-1	1	FALSE	-0.743813953488372	1	0.25	-0.196816698730135	7.25471463614199
0.35	an addict	a rapist	50	elaborate	1	21	1	hearingAids	simpleChoice	d	Left Item	7.56371966841437	N/A	-1	0.170766129032258	0.0312929537594387	0.341532258064516	1	1	TRUE	0.658467741935484	1	0.35	0.0293072742687244	7.53441239414564
0.35	a gang member	an olympian	50	elaborate	1	31	1	legalFees	simpleChoice	k	Right Item	7.06817200038804	N/A	-1	0.167315789473684	0.0340352895845191	0.334631578947368	-1	1	FALSE	-0.665368421052632	1	0.35	-0.345011111991915	7.41318311237996
0.35	an addict	a pedophile	50	elaborate	1	60	1	paralysis	simpleChoice	d	Left Item	7.41034709782102	N/A	-1	0.15098347107438	0.0301176113866207	0.30196694214876	1	1	TRUE	0.69803305785124	1	0.35	0.145172686180072	7.26517441164095
0.35	an addict	a terrorist	50	elaborate	1	54	1	bucketList	simpleChoice	d	Left Item	7.35819375273303	N/A	-1	0.18692735042735	0.0341446724899859	0.373854700854701	1	1	TRUE	0.626145299145299	1	0.35	0.0766635114112031	7.28153024132183
0.35	a convict	an elderly person	50	elaborate	1	74	1	surgery	simpleChoice	k	Right Item	6.80239476332431	N/A	-1	0.158849206349206	0.0308855805617304	0.317698412698413	-1	1	FALSE	-0.682301587301587	1	0.35	-0.438787418161043	7.24118218148535
0.45	a mother	a celebrity	50	elaborate	1	77	1	burntHouse	simpleChoice	d	Left Item	7.12367278520461	N/A	-1	0.21578813559322	0.0262432815106397	0.431576271186441	1	1	TRUE	0.568423728813559	1	0.45	-0.114149360985357	7.23782214618996
0.45	an elderly person	an addict	50	elaborate	1	33	1	paralysis	simpleChoice	d	Left Item	7.13409372119287	N/A	-1	0.202895652173913	0.036041133599503	0.405791304347826	1	1	TRUE	0.594208695652174	1	0.45	-0.261070391547475	7.39516411274034
0.45	an addict	a mentor	50	elaborate	1	43	1	burntHouse	simpleChoice	k	Right Item	7.13886699994552	N/A	-1	0.770483333333333	0.0366520620351599	0.459033333333333	-1	1	FALSE	-0.540966666666667	1	0.45	-0.188100450323702	7.32696745026923
0.45	a convict	an olympian	50	elaborate	1	78	1	serviceDog	simpleChoice	k	Right Item	6.88448665204278	N/A	-1	0.210772357723577	0.0380499780740398	0.421544715447155	-1	1	FALSE	-0.578455284552845	1	0.45	-0.352318662161287	7.23680531420407
0.45	a judge	a convict	50	elaborate	1	13	1	medicalTreatment	simpleChoice	d	Left Item	7.5595594960077	N/A	-1	0.219437984496124	0.0339910951256931	0.438875968992248	1	1	TRUE	0.561124031007752	1	0.45	-0.123647883674144	7.68320737968184
0.45	a pedophile	a convict	50	elaborate	1	92	1	physicalTherapy	simpleChoice	k	Right Item	7.86787149039632	N/A	-1	0.769706766917293	0.0325765544976973	0.460586466165414	-1	1	FALSE	-0.539413533834586	1	0.45	0.641189054174832	7.22668243622149
0.45	an addict	a mentor	50	elaborate	1	58	1	bucketList	simpleChoice	k	Right Item	6.7990558620588	N/A	-1	0.770483333333333	0.0366520620351599	0.459033333333333	-1	1	FALSE	-0.540966666666667	1	0.45	-0.471056886897537	7.27011274895633
0.45	a pedophile	a convict	50	elaborate	1	63	1	counseling	simpleChoice	k	Right Item	7.24779258176785	N/A	-1	0.769706766917293	0.0325765544976973	0.460586466165414	-1	1	FALSE	-0.539413533834586	1	0.45	-0.0108078406786998	7.25860042244655
0.55	a nun	a father	50	elaborate	1	61	1	surgery	simpleChoice	k	Right Item	7.8811822022271	N/A	-1	0.740512145748988	0.0267878210493304	0.518975708502024	-1	1	FALSE	-0.481024291497976	1	0.55	0.618304972817564	7.26287722940954
0.55	an addict	an olympian	50	elaborate	1	14	1	medicalTreatment	simpleChoice	k	Right Item	7.9755646584952	N/A	-1	0.290084821428571	0.0400919726992387	0.580169642857143	-1	1	FALSE	-0.419830357142857	1	0.55	0.314222442140332	7.66134221635487
0.55	a rapist	a gang member	50	elaborate	1	9	1	counseling	simpleChoice	k	Right Item	8.39502555744203	N/A	-1	0.714559523809524	0.0344337299859876	0.570880952380952	-1	1	FALSE	-0.429119047619048	1	0.55	0.613079507979746	7.78194604946228
0.55	an addict	an astronaut	50	elaborate	1	44	1	legalFees	simpleChoice	k	Right Item	7.26752542782817	N/A	-1	0.25954132231405	0.0380275783906957	0.519082644628099	-1	1	FALSE	-0.480917355371901	1	0.55	-0.0542523290821526	7.32177775691032
0.55	a father	a nun	50	elaborate	1	59	1	counseling	simpleChoice	d	Left Item	6.80682936039218	N/A	-1	0.740512145748988	0.0267878210493304	0.518975708502024	1	1	TRUE	0.481024291497976	1	0.55	-0.460755044442131	7.26758440483431
0.55	a gang member	a pedophile	50	elaborate	1	91	1	surgery	simpleChoice	d	Left Item	7.31521838975297	N/A	-1	0.739467479674797	0.0351200128286331	0.521065040650406	1	1	TRUE	0.478934959349594	1	0.55	0.0880162399662421	7.22720214978673
0.65	a father	a police officer	50	elaborate	1	11	1	serviceDog	simpleChoice	d	Left Item	8.45807992692373	N/A	-1	0.655899209486166	0.028567857219352	0.688201581027668	1	1	TRUE	0.311798418972332	1	0.65	0.727868199703439	7.73021172722029
0.65	a father	a teacher	50	elaborate	1	42	1	physicalTherapy	simpleChoice	k	Right Item	7.96206730875367	N/A	-1	0.658853260869565	0.0236128238843631	0.68229347826087	1	0	TRUE	0.31770652173913	0	0.65	0.629655307547417	7.33241200120625
0.65	an elderly person	a nun	50	elaborate	1	62	1	surgery	simpleChoice	k	Right Item	8.06306291132679	N/A	-1	0.347395833333333	0.0422852758649112	0.694791666666667	1	0	TRUE	0.305208333333333	0	0.65	0.802375333829496	7.2606875774973
0.65	a terrorist	a gang member	50	elaborate	1	90	1	surgery	simpleChoice	k	Right Item	7.43543801981455	N/A	-1	0.689924369747899	0.0390298556059179	0.620151260504202	-1	1	FALSE	-0.379848739495798	1	0.65	0.207690634156845	7.22774738565771
0.65	an astronaut	a soldier	50	elaborate	1	26	1	physicalTherapy	simpleChoice	k	Right Item	7.37211802833779	N/A	-1	0.654556	0.0415574046576766	0.690888	-1	1	FALSE	-0.309112	1	0.65	-0.0944495449909981	7.46656757332878
0.65	an addict	a nun	50	elaborate	1	46	1	counseling	simpleChoice	k	Right Item	6.87935580446044	N/A	-1	0.6948125	0.041340686597353	0.610375	-1	1	FALSE	-0.389625	1	0.65	-0.432759977709862	7.3121157821703
0.65	a thief	a rapist	50	elaborate	1	81	1	serviceDog	simpleChoice	d	Left Item	7.34471905414967	N/A	-1	0.319571428571429	0.0377483932391428	0.639142857142857	1	1	TRUE	0.360857142857143	1	0.65	0.110687458355363	7.23403159579431
0.65	a police officer	a congressman	50	elaborate	1	49	1	medicalTreatment	simpleChoice	d	Left Item	7.09090982207998	N/A	-1	0.338445833333333	0.0421871625470012	0.676891666666667	1	1	TRUE	0.323108333333333	1	0.65	-0.208343793437646	7.29925361551763
0.65	a gang member	an addict	50	elaborate	1	50	1	legalFees	simpleChoice	k	Right Item	7.31654817718298	N/A	-1	0.347794871794872	0.042213942603222	0.695589743589744	-1	1	FALSE	-0.304410256410256	1	0.65	0.0211869798427085	7.29536119734027
0.75	an adult	a celebrity	50	elaborate	1	5	1	counseling	simpleChoice	d	Left Item	8.07402621612406	N/A	-1	0.386504464285714	0.0448626415839987	0.773008928571429	1	1	TRUE	0.226991071428571	1	0.75	0.17246982182114	7.90155639430292
0.75	a nun	a teacher	50	elaborate	1	2	1	counseling	simpleChoice	k	Right Item	7.8898337513943	N/A	-1	0.389686234817814	0.0300168954029765	0.779372469635628	-1	1	FALSE	-0.220627530364372	1	0.75	-0.117748137469782	8.00758188886408
0.75	a judge	an elderly person	50	elaborate	1	15	1	bucketList	simpleChoice	k	Right Item	8.03495502450216	N/A	-1	0.363935897435897	0.0430090288293073	0.727871794871795	-1	1	FALSE	-0.272128205128205	1	0.75	0.394454470613461	7.6405005538887
0.75	an elderly person	a judge	50	elaborate	1	66	1	physicalTherapy	simpleChoice	d	Left Item	7.02997291170639	N/A	-1	0.363935897435897	0.0430090288293073	0.727871794871795	1	1	TRUE	0.272128205128205	1	0.75	-0.222934160738794	7.25290707244518
0.75	a soldier	a mentor	50	elaborate	1	73	1	physicalTherapy	simpleChoice	d	Left Item	6.96034772910131	N/A	-1	0.394768292682927	0.0425642696151299	0.789536585365854	1	1	TRUE	0.210463414634146	1	0.75	-0.282066225353526	7.24241395445483
0.75	an elderly person	an astronaut	50	elaborate	1	80	1	hearingAids	simpleChoice	d	Left Item	7.12689080889881	N/A	-1	0.392727272727273	0.0446183393423852	0.785454545454546	1	1	TRUE	0.214545454545454	1	0.75	-0.108021405986451	7.23491221488526
0.75	a celebrity	a police officer	50	elaborate	1	10	1	physicalTherapy	simpleChoice	k	Right Item	7.29709100516042	N/A	-1	0.375532786885246	0.0424773922437515	0.751065573770492	-1	1	FALSE	-0.248934426229508	1	0.75	-0.458367957415325	7.75545896257574
0.85	a judge	a mentor	50	elaborate	1	69	1	surgery	simpleChoice	k	Right Item	7.85979918056211	N/A	-1	0.415024590163934	0.042140828401343	0.830049180327869	-1	1	FALSE	-0.169950819672131	1	0.85	0.611822787690549	7.24797639287156
0.85	a mentor	an astronaut	50	elaborate	1	4	1	serviceDog	simpleChoice	d	Left Item	8.0323601479245	N/A	-1	0.55290873015873	0.0425323876544736	0.89418253968254	1	1	TRUE	0.10581746031746	1	0.85	0.0971420544709503	7.93521809345355
0.85	a teacher	an olympian	50	elaborate	1	17	1	counseling	simpleChoice	d	Left Item	7.23993259132047	N/A	-1	0.597214285714286	0.030927598454462	0.805571428571429	1	1	TRUE	0.194428571428571	1	0.85	-0.361765743947191	7.60169833526766
0.85	a nun	a congressman	50	elaborate	1	41	1	counseling	simpleChoice	d	Left Item	7.66246781520024	N/A	-1	0.411561403508772	0.0436997912168078	0.823122807017544	1	1	TRUE	0.176877192982456	1	0.85	0.324343889828953	7.33812392537128
0.85	a police officer	a judge	50	elaborate	1	1	1	serviceDog	simpleChoice	d	Left Item	8.14496941708788	N/A	-1	0.419852713178295	0.0439803913040538	0.839705426356589	1	1	TRUE	0.160294573643411	1	0.85	0.0985190858430425	8.04645033124483
0.85	a mentor	a nun	50	elaborate	1	23	1	serviceDog	simpleChoice	k	Right Item	7.84854348245668	N/A	-1	0.59782	0.0419068942751403	0.80436	1	0	TRUE	0.19564	0	0.85	0.343233860023637	7.50530962243304
0.85	a police officer	a soldier	50	elaborate	1	87	1	bucketList	simpleChoice	k	Right Item	8.14002395246292	N/A	-1	0.402773076923077	0.0417230297392088	0.805546153846154	-1	1	FALSE	-0.194453846153846	1	0.85	0.910474880984751	7.22954907147817
0.85	a convict	a gang member	50	elaborate	1	40	1	serviceDog	simpleChoice	d	Left Item	7.47986413116503	N/A	-1	0.55037890625	0.0426030854912737	0.8992421875	1	1	TRUE	0.1007578125	1	0.85	0.135747778127165	7.34411635303786
