exp	sn	cond	sess	trial	trial_type	dispSize	minProbeTime	respOrder	fixedOrWord	probeBlankTime	screenAdvanceTime	title	typeOfScen	Item	Is_are	you_holder	questionKey	keybResp	keyDef	keybRT	moral_acceptabilityResp	moral_acceptabilityRT	moral_inacceptabilityResp	moral_inacceptabilityRT	rtBeep	rtDeadline	hide_question
charityYou2	95	you	3	3	0	680	0	k	W	300	0	medicalTreatment	ten	a mother	is	you	XorY	s	Donate	2194	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	0	1	680	0	k	W	150	0	hearingAids	ten	a rapist	is	you	XorY	l	Keep	2565	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	1	1	680	0	k	W	150	0	surgery	ten	a mother	is	you	XorY	s	Donate	2233	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	2	1	680	0	k	W	150	0	medicalTreatment	ten	your grandfather	is	you	XorY	s	Donate	5355	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	3	1	680	0	k	W	150	0	serviceDog	ten	a judge	is	you	XorY	l	Keep	1328	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	4	1	680	0	k	W	150	0	surgery	ten	a mother	is	you	XorY	s	Donate	1687	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	5	1	680	0	k	W	150	0	hearingAids	ten	your friend	is	you	XorY	s	Donate	1593	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	6	1	680	0	k	W	150	0	surgery	ten	a gang member	is	you	XorY	l	Keep	1862	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	7	1	680	0	k	W	150	0	legalFees	ten	a congressman	is	you	XorY	l	Keep	1968	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	8	1	680	0	k	W	150	0	serviceDog	ten	your mother	is	you	XorY	s	Donate	1323	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	9	1	680	0	k	W	150	0	bucketList	ten	a rapist	is	you	XorY	l	Keep	1850	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	10	1	680	0	k	W	150	0	legalFees	ten	a celebrity	is	you	XorY	l	Keep	1387	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	11	1	680	0	k	W	150	0	bucketList	ten	your grandfather	is	you	XorY	s	Donate	1462	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	12	1	680	0	k	W	150	0	serviceDog	ten	an adult	is	you	XorY	l	Keep	2810	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	13	1	680	0	k	W	150	0	hearingAids	ten	your mother	is	you	XorY	s	Donate	2134	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	14	1	680	0	k	W	150	0	legalFees	ten	your grandfather	is	you	XorY	s	Donate	1704	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	15	1	680	0	k	W	150	0	physicalTherapy	ten	your friend	is	you	XorY	s	Donate	655	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	16	1	680	0	k	W	150	0	burntHouse	ten	a police officer	is	you	XorY	l	Keep	735	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	17	1	680	0	k	W	150	0	hearingAids	ten	your grandfather	is	you	XorY	s	Donate	1098	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	18	1	680	0	k	W	150	0	paralysis	ten	an addict	is	you	XorY	l	Keep	1819	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	19	1	680	0	k	W	150	0	physicalTherapy	ten	your friend	is	you	XorY	s	Donate	1046	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	20	1	680	0	k	W	150	0	legalFees	ten	an adult	is	you	XorY	l	Keep	3536	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	21	1	680	0	k	W	150	0	hearingAids	ten	an assassin	is	you	XorY	l	Keep	1494	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	22	1	680	0	k	W	150	0	hearingAids	ten	a soldier	is	you	XorY	l	Keep	1454	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	23	1	680	0	k	W	150	0	bucketList	ten	a police officer	is	you	XorY	l	Keep	1159	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	24	1	680	0	k	W	150	0	burntHouse	ten	an adult	is	you	XorY	l	Keep	780	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	25	1	680	0	k	W	150	0	serviceDog	ten	a mother	is	you	XorY	s	Donate	1628	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	26	1	680	0	k	W	150	0	burntHouse	ten	a father	is	you	XorY	s	Donate	1580	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	27	1	680	0	k	W	150	0	serviceDog	ten	a thief	is	you	XorY	l	Keep	1258	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	28	1	680	0	k	W	150	0	surgery	ten	a gang member	is	you	XorY	l	Keep	1742	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	29	1	680	0	k	W	150	0	physicalTherapy	ten	a teacher	is	you	XorY	s	Donate	1132	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	30	1	680	0	k	W	150	0	bucketList	ten	a thief	is	you	XorY	l	Keep	2632	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	31	1	680	0	k	W	150	0	surgery	ten	a terrorist	is	you	XorY	l	Keep	1570	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	32	1	680	0	k	W	150	0	bucketList	ten	a nun	is	you	XorY	l	Keep	4930	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	33	1	680	0	k	W	150	0	hearingAids	ten	a soldier	is	you	XorY	l	Keep	1735	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	34	1	680	0	k	W	150	0	surgery	ten	your mother	is	you	XorY	s	Donate	1142	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	35	1	680	0	k	W	150	0	paralysis	ten	a police officer	is	you	XorY	l	Keep	1452	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	36	1	680	0	k	W	150	0	serviceDog	ten	your sibling	is	you	XorY	s	Donate	1242	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	37	1	680	0	k	W	150	0	burntHouse	ten	your sibling	is	you	XorY	s	Donate	2232	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	38	1	680	0	k	W	150	0	serviceDog	ten	a pedophile	is	you	XorY	l	Keep	1350	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	39	1	680	0	k	W	150	0	serviceDog	ten	your cousin	is	you	XorY	s	Donate	1886	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	40	1	680	0	k	W	150	0	burntHouse	ten	an assassin	is	you	XorY	l	Keep	1682	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	41	1	680	0	k	W	150	0	paralysis	ten	a teacher	is	you	XorY	s	Donate	3296	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	42	1	680	0	k	W	150	0	hearingAids	ten	a nun	is	you	XorY	l	Keep	1261	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	43	1	680	0	k	W	150	0	physicalTherapy	ten	a convict	is	you	XorY	l	Keep	1631	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	44	1	680	0	k	W	150	0	serviceDog	ten	a father	is	you	XorY	s	Donate	4167	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	45	1	680	0	k	W	150	0	burntHouse	ten	your grandfather	is	you	XorY	s	Donate	3432	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	46	1	680	0	k	W	150	0	paralysis	ten	your mother	is	you	XorY	s	Donate	2301	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	47	1	680	0	k	W	150	0	physicalTherapy	ten	a gang member	is	you	XorY	l	Keep	4783	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	48	1	680	0	k	W	150	0	paralysis	ten	an astronaut	is	you	XorY	l	Keep	1791	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	49	1	680	0	k	W	150	0	bucketList	ten	an Olympian	is	you	XorY	l	Keep	2261	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	50	1	680	0	k	W	150	0	hearingAids	ten	a nun	is	you	XorY	l	Keep	4321	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	51	1	680	0	k	W	150	0	bucketList	ten	an adult	is	you	XorY	l	Keep	4527	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	52	1	680	0	k	W	150	0	surgery	ten	an adult	is	you	XorY	l	Keep	1588	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	53	1	680	0	k	W	150	0	surgery	ten	a father	is	you	XorY	s	Donate	1411	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	54	1	680	0	k	W	150	0	bucketList	ten	a pedophile	is	you	XorY	l	Keep	2724	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	55	1	680	0	k	W	150	0	hearingAids	ten	an adult	is	you	XorY	l	Keep	2893	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	56	1	680	0	k	W	150	0	legalFees	ten	a police officer	is	you	XorY	l	Keep	2594	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	57	1	680	0	k	W	150	0	physicalTherapy	ten	a celebrity	is	you	XorY	l	Keep	2365	0	0	0	0	N/A	-1	visible
charityYou2	95	you	3	58	1	680	0	k	W	150	0	bucketList	ten	a thief	is	you	XorY	l	Keep	2732	0	0	0	0	N/A	-1	visible
